Time	Channel B
(ms)	(mV)

-1.63840000	0.14396870
-1.63788800	0.14727040
-1.63737600	0.21477510
-1.63686400	0.20637040
-1.63635200	0.10569970
-1.63584000	0.08167174
-1.63532800	0.07020846
-1.63481600	0.04309968
-1.63430400	0.06175412
-1.63379200	0.08662989
-1.63328000	0.10382570
-1.63276800	0.06889994
-1.63225600	0.02300226
-1.63174400	0.09740087
-1.63123200	0.09813280
-1.63072000	0.13739950
-1.63020800	0.09152176
-1.62969600	0.02451416
-1.62918400	0.05963533
-1.62867200	0.10790760
-1.62816000	0.29891770
-1.62764800	0.23319730
-1.62713600	0.10913500
-1.62662400	0.19242590
-1.62611200	0.22049070
-1.62560000	0.06822059
-1.62508800	0.20198350
-1.62457600	0.14304670
-1.62406400	0.05712982
-1.62355200	0.13769980
-1.62304000	0.17995370
-1.62252800	0.17209830
-1.62201600	0.09895075
-1.62150400	0.17470060
-1.62099200	0.29932370
-1.62048000	0.36084280
-1.61996800	0.32055090
-1.61945600	0.16865050
-1.61894400	0.07076331
-1.61843200	0.08314001
-1.61792000	0.15199540
-1.61740800	0.12466110
-1.61689600	0.05562823
-1.61638400	0.05289719
-1.61587200	0.09900400
-1.61536000	0.18391470
-1.61484800	0.13717800
-1.61433600	0.10217690
-1.61382400	0.14372280
-1.61331200	0.11528080
-1.61280000	0.17816770
-1.61228800	0.19337550
-1.61177600	0.18909160
-1.61126400	0.15766040
-1.61075200	0.19685430
-1.61024000	0.19791610
-1.60972800	0.19427500
-1.60921600	0.14543920
-1.60870400	0.19508370
-1.60819200	0.27423480
-1.60768000	0.19479990
-1.60716800	0.05767302
-1.60665600	0.10719910
-1.60614400	0.10673150
-1.60563200	0.02910498
-1.60512000	0.07104506
-1.60460800	0.05068152
-1.60409600	0.12638880
-1.60358400	0.20222580
-1.60307200	0.22226740
-1.60256000	0.14317110
-1.60204800	0.04534220
-1.60153600	0.15173320
-1.60102400	0.20016660
-1.60051200	0.09116571
-1.60000000	0.13312080
-1.59948800	0.16303300
-1.59897600	0.17678970
-1.59846400	0.15366720
-1.59795200	0.07860282
-1.59744000	0.09257297
-1.59692800	0.08916018
-1.59641600	0.15693440
-1.59590400	0.21021290
-1.59539200	0.09650575
-1.59488000	0.02962409
-1.59436800	0.10345210
-1.59385600	0.21934650
-1.59334400	0.25068480
-1.59283200	0.17101950
-1.59232000	0.14916210
-1.59180800	0.18863110
-1.59129600	0.11901900
-1.59078400	0.13989800
-1.59027200	0.13668550
-1.58976000	0.12452110
-1.58924800	0.18922360
-1.58873600	0.21735680
-1.58822400	0.14236230
-1.58771200	0.13697190
-1.58720000	0.17885130
-1.58668800	0.18918240
-1.58617600	0.21834270
-1.58566400	0.23873550
-1.58515200	0.21898710
-1.58464000	0.13649340
-1.58412800	0.02642137
-1.58361600	0.12616800
-1.58310400	0.22672290
-1.58259200	0.20870850
-1.58208000	0.09322441
-1.58156800	0.02744712
-1.58105600	0.02793211
-1.58054400	0.05841996
-1.58003200	0.05835224
-1.57952000	0.04925296
-1.57900800	0.11408360
-1.57849600	0.11427680
-1.57798400	0.07780716
-1.57747200	0.11470030
-1.57696000	0.09971105
-1.57644800	0.14173320
-1.57593600	0.13961580
-1.57542400	0.03050449
-1.57491200	0.06089269
-1.57440000	0.10256290
-1.57388800	0.08016077
-1.57337600	0.09487215
-1.57286400	0.11543590
-1.57235200	0.04330225
-1.57184000	0.10185350
-1.57132800	0.10515970
-1.57081600	0.15643530
-1.57030400	0.18030830
-1.56979200	0.13814190
-1.56928000	0.10460910
-1.56876800	0.18481630
-1.56825600	0.17033740
-1.56774400	0.15946420
-1.56723200	0.18647420
-1.56672000	0.09115877
-1.56620800	0.13346490
-1.56569600	0.12822810
-1.56518400	0.07726352
-1.56467200	0.08340413
-1.56416000	0.06167851
-1.56364800	0.03277704
-1.56313600	0.03993964
-1.56262400	0.10833540
-1.56211200	0.18844150
-1.56160000	0.08743834
-1.56108800	0.11734350
-1.56057600	0.12380710
-1.56006400	0.05543174
-1.55955200	0.06838343
-1.55904000	0.04891687
-1.55852800	0.05877387
-1.55801600	0.09226263
-1.55750400	0.14013970
-1.55699200	0.11134340
-1.55648000	0.09058978
-1.55596800	0.09470657
-1.55545600	0.10256180
-1.55494400	0.03302234
-1.55443200	0.17541200
-1.55392000	0.15868400
-1.55340800	0.03651568
-1.55289600	0.16958050
-1.55238400	0.15815700
-1.55187200	0.21028230
-1.55136000	0.25834060
-1.55084800	0.22853250
-1.55033600	0.17179510
-1.54982400	0.17595820
-1.54931200	0.19287440
-1.54880000	0.12098220
-1.54828800	0.12457340
-1.54777600	0.15345320
-1.54726400	0.07435097
-1.54675200	0.03240607
-1.54624000	0.06340381
-1.54572800	0.12808160
-1.54521600	0.16743200
-1.54470400	0.16473090
-1.54419200	0.11476370
-1.54368000	0.07293406
-1.54316800	0.08014068
-1.54265600	0.08029781
-1.54214400	0.08522525
-1.54163200	0.17006680
-1.54112000	0.24323490
-1.54060800	0.22684980
-1.54009600	0.09066200
-1.53958400	0.08210693
-1.53907200	0.15835670
-1.53856000	0.13727440
-1.53804800	0.06690175
-1.53753600	0.12258180
-1.53702400	0.18418620
-1.53651200	0.10719690
-1.53600000	0.09919320
-1.53548800	0.21044670
-1.53497600	0.18844640
-1.53446400	0.08620591
-1.53395200	0.06380704
-1.53344000	0.04045106
-1.53292800	0.05896849
-1.53241600	0.04902466
-1.53190400	0.11533120
-1.53139200	0.11228840
-1.53088000	0.16101870
-1.53036800	0.19547190
-1.52985600	0.14206250
-1.52934400	0.10458670
-1.52883200	0.06934855
-1.52832000	0.05095112
-1.52780800	0.10307350
-1.52729600	0.10016750
-1.52678400	0.14776180
-1.52627200	0.18994470
-1.52576000	0.14153810
-1.52524800	0.09962055
-1.52473600	0.08988477
-1.52422400	0.10891720
-1.52371200	0.17820390
-1.52320000	0.14633510
-1.52268800	0.07069604
-1.52217600	0.06816443
-1.52166400	0.09242231
-1.52115200	0.13567950
-1.52064000	0.07717374
-1.52012800	0.01066872
-1.51961600	0.09172069
-1.51910400	0.07648379
-1.51859200	0.11308090
-1.51808000	0.18983700
-1.51756800	0.20091300
-1.51705600	0.13587680
-1.51654400	0.08284621
-1.51603200	0.07975908
-1.51552000	0.12747900
-1.51500800	0.07148751
-1.51449600	0.04796089
-1.51398400	0.03968686
-1.51347200	0.09922658
-1.51296000	0.15164380
-1.51244800	0.14720700
-1.51193600	0.13737430
-1.51142400	0.11092670
-1.51091200	0.02497688
-1.51040000	0.09618133
-1.50988800	0.18231000
-1.50937600	0.12793630
-1.50886400	0.05687588
-1.50835200	0.08130125
-1.50784000	0.08478588
-1.50732800	0.05272041
-1.50681600	0.02401523
-1.50630400	0.12475560
-1.50579200	0.13202580
-1.50528000	0.03883528
-1.50476800	0.03823043
-1.50425600	0.09619439
-1.50374400	0.06920051
-1.50323200	0.04955285
-1.50272000	0.13912140
-1.50220800	0.17803390
-1.50169600	0.15792480
-1.50118400	0.09673434
-1.50067200	0.01366834
-1.50016000	0.09526847
-1.49964800	0.08337100
-1.49913600	0.03834123
-1.49862400	0.03303422
-1.49811200	0.02804679
-1.49760000	0.00588168
-1.49708800	0.05558315
-1.49657600	0.06251409
-1.49606400	0.03044154
-1.49555200	0.11860190
-1.49504000	0.18051890
-1.49452800	0.13169980
-1.49401600	0.07160676
-1.49350400	0.04470299
-1.49299200	0.05137632
-1.49248000	0.07996395
-1.49196800	0.08587057
-1.49145600	0.11745460
-1.49094400	0.09388787
-1.49043200	0.05418108
-1.48992000	0.06110148
-1.48940800	0.07816919
-1.48889600	0.05282290
-1.48838400	0.05706638
-1.48787200	0.10611790
-1.48736000	0.08424257
-1.48684800	0.10084780
-1.48633600	0.10137450
-1.48582400	0.04185047
-1.48531200	0.09490783
-1.48480000	0.13350370
-1.48428800	0.16475400
-1.48377600	0.20470610
-1.48326400	0.10483870
-1.48275200	0.07164564
-1.48224000	0.07003123
-1.48172800	0.04837126
-1.48121600	0.03666393
-1.48070400	0.09091006
-1.48019200	0.05356183
-1.47968000	0.06735899
-1.47916800	0.04240471
-1.47865600	0.05046371
-1.47814400	0.03184807
-1.47763200	0.00224384
-1.47712000	0.06870262
-1.47660800	0.13288590
-1.47609600	0.17144460
-1.47558400	0.15686130
-1.47507200	0.09911912
-1.47456000	0.08356766
-1.47404800	0.12157220
-1.47353600	0.13884410
-1.47302400	0.08588439
-1.47251200	0.05315407
-1.47200000	0.11644330
-1.47148800	0.04910003
-1.47097600	0.09039254
-1.47046400	0.10587160
-1.46995200	0.09102160
-1.46944000	0.08816547
-1.46892800	0.10888630
-1.46841600	0.04949061
-1.46790400	0.02557149
-1.46739200	0.08336169
-1.46688000	0.07788210
-1.46636800	0.07058199
-1.46585600	0.08872148
-1.46534400	0.08246028
-1.46483200	0.12863240
-1.46432000	0.16637260
-1.46380800	0.13979110
-1.46329600	0.12070190
-1.46278400	0.09467057
-1.46227200	0.02527914
-1.46176000	0.03653806
-1.46124800	0.07392886
-1.46073600	0.06776916
-1.46022400	0.11886410
-1.45971200	0.12060350
-1.45920000	0.07117195
-1.45868800	0.03447789
-1.45817600	0.05041578
-1.45766400	0.04596218
-1.45715200	0.04715549
-1.45664000	0.11241930
-1.45612800	0.09987316
-1.45561600	0.07267386
-1.45510400	0.06884986
-1.45459200	0.04333672
-1.45408000	0.02910567
-1.45356800	0.01994346
-1.45305600	0.01760848
-1.45254400	0.06255297
-1.45203200	0.07134571
-1.45152000	0.04628011
-1.45100800	0.06638154
-1.45049600	0.06772146
-1.44998400	0.08823136
-1.44947200	0.09085114
-1.44896000	0.07195032
-1.44844800	0.02071951
-1.44793600	0.08746202
-1.44742400	0.11811070
-1.44691200	0.10926990
-1.44640000	0.04840985
-1.44588800	0.11709220
-1.44537600	0.11913030
-1.44486400	0.06613196
-1.44435200	0.05229736
-1.44384000	0.08360919
-1.44332800	0.09403867
-1.44281600	0.01095728
-1.44230400	0.09823810
-1.44179200	0.11382750
-1.44128000	0.16349090
-1.44076800	0.15744360
-1.44025600	0.10327740
-1.43974400	0.10816940
-1.43923200	0.12265560
-1.43872000	0.09511292
-1.43820800	0.08134899
-1.43769600	0.05140818
-1.43718400	0.07326195
-1.43667200	0.09394126
-1.43616000	0.05742781
-1.43564800	0.04932036
-1.43513600	0.05977489
-1.43462400	0.03286689
-1.43411200	0.06924182
-1.43360000	0.09671287
-1.43308800	0.08768342
-1.43257600	0.01971206
-1.43206400	0.08207966
-1.43155200	0.14455730
-1.43104000	0.11481220
-1.43052800	0.02244300
-1.43001600	0.09207210
-1.42950400	0.06576955
-1.42899200	0.02836267
-1.42848000	0.02170839
-1.42796800	0.03998936
-1.42745600	0.10302400
-1.42694400	0.13317870
-1.42643200	0.10188410
-1.42592000	0.05468580
-1.42540800	0.02341129
-1.42489600	0.05019721
-1.42438400	0.04982637
-1.42387200	0.05427092
-1.42336000	0.06283760
-1.42284800	0.08281279
-1.42233600	0.09827950
-1.42182400	0.12655460
-1.42131200	0.05994668
-1.42080000	0.07139433
-1.42028800	0.11512640
-1.41977600	0.13015720
-1.41926400	0.12818670
-1.41875200	0.12927660
-1.41824000	0.21772600
-1.41772800	0.17237250
-1.41721600	0.08265219
-1.41670400	0.10992830
-1.41619200	0.12893180
-1.41568000	0.08103541
-1.41516800	0.04461288
-1.41465600	0.01533521
-1.41414400	0.03676415
-1.41363200	0.06701628
-1.41312000	0.05510044
-1.41260800	0.12548790
-1.41209600	0.16715720
-1.41158400	0.14171140
-1.41107200	0.12003230
-1.41056000	0.10934130
-1.41004800	0.09045665
-1.40953600	0.06092278
-1.40902400	0.05672980
-1.40851200	0.04765829
-1.40800000	0.03933609
-1.40748800	0.04219506
-1.40697600	0.03483780
-1.40646400	0.08598079
-1.40595200	0.07192642
-1.40544000	0.05688229
-1.40492800	0.00696998
-1.40441600	0.03879790
-1.40390400	0.09868151
-1.40339200	0.14303050
-1.40288000	0.06453303
-1.40236800	0.05422116
-1.40185600	0.09109002
-1.40134400	0.05607153
-1.40083200	0.03550388
-1.40032000	0.04430010
-1.39980800	0.06391452
-1.39929600	0.06718404
-1.39878400	0.03619594
-1.39827200	0.02026889
-1.39776000	0.03879704
-1.39724800	0.02885617
-1.39673600	0.03520250
-1.39622400	0.05765027
-1.39571200	0.10806760
-1.39520000	0.11404570
-1.39468800	0.07958662
-1.39417600	0.09107317
-1.39366400	0.10272890
-1.39315200	0.04417083
-1.39264000	0.01464599
-1.39212800	0.05976649
-1.39161600	0.04110196
-1.39110400	0.06496695
-1.39059200	0.08112526
-1.39008000	0.13887820
-1.38956800	0.08831468
-1.38905600	0.11479820
-1.38854400	0.09466727
-1.38803200	0.06249902
-1.38752000	0.07325876
-1.38700800	0.04066825
-1.38649600	0.10008480
-1.38598400	0.07308116
-1.38547200	0.04385171
-1.38496000	0.02173255
-1.38444800	0.04111158
-1.38393600	0.07123003
-1.38342400	0.07448462
-1.38291200	0.05900860
-1.38240000	0.06879392
-1.38188800	0.06891131
-1.38137600	0.02246988
-1.38086400	0.03723229
-1.38035200	0.10759060
-1.37984000	0.06915677
-1.37932800	0.02466130
-1.37881600	0.04453633
-1.37830400	0.06330560
-1.37779200	0.03992539
-1.37728000	0.07262215
-1.37676800	0.09024826
-1.37625600	0.05321196
-1.37574400	0.05641519
-1.37523200	0.11155890
-1.37472000	0.09329677
-1.37420800	0.07363193
-1.37369600	0.06449968
-1.37318400	0.06045324
-1.37267200	0.06754605
-1.37216000	0.08322594
-1.37164800	0.06699462
-1.37113600	0.04188323
-1.37062400	0.09957990
-1.37011200	0.12796000
-1.36960000	0.11852790
-1.36908800	0.06939578
-1.36857600	0.00855522
-1.36806400	0.07928336
-1.36755200	0.09625045
-1.36704000	0.06701686
-1.36652800	0.03153399
-1.36601600	0.05530253
-1.36550400	0.07441624
-1.36499200	0.07697518
-1.36448000	0.10762850
-1.36396800	0.08543518
-1.36345600	0.03456115
-1.36294400	0.09787552
-1.36243200	0.08680689
-1.36192000	0.03492074
-1.36140800	0.05644507
-1.36089600	0.07117484
-1.36038400	0.02463796
-1.35987200	0.05687603
-1.35936000	0.10088530
-1.35884800	0.09772443
-1.35833600	0.07887093
-1.35782400	0.12845730
-1.35731200	0.12156810
-1.35680000	0.09448503
-1.35628800	0.04912575
-1.35577600	0.01087931
-1.35526400	0.01673668
-1.35475200	0.01851195
-1.35424000	0.04432354
-1.35372800	0.04863112
-1.35321600	0.04990598
-1.35270400	0.09149528
-1.35219200	0.07531745
-1.35168000	0.01810335
-1.35116800	0.02784600
-1.35065600	0.05762903
-1.35014400	0.02061591
-1.34963200	0.07121905
-1.34912000	0.11533210
-1.34860800	0.11001830
-1.34809600	0.11264300
-1.34758400	0.12021940
-1.34707200	0.11312650
-1.34656000	0.08574181
-1.34604800	0.09823749
-1.34553600	0.08324186
-1.34502400	0.06811056
-1.34451200	0.08074839
-1.34400000	0.05424091
-1.34348800	0.02573125
-1.34297600	0.05264064
-1.34246400	0.07177510
-1.34195200	0.07915616
-1.34144000	0.06735861
-1.34092800	0.02457374
-1.34041600	0.06108195
-1.33990400	0.07823483
-1.33939200	0.05167127
-1.33888000	0.04878185
-1.33836800	0.03734782
-1.33785600	0.04116051
-1.33734400	0.06178818
-1.33683200	0.06874167
-1.33632000	0.06178207
-1.33580800	0.02421847
-1.33529600	0.02512538
-1.33478400	0.08439140
-1.33427200	0.07999536
-1.33376000	0.04585813
-1.33324800	0.11839940
-1.33273600	0.10207140
-1.33222400	0.03023374
-1.33171200	0.04482279
-1.33120000	0.09052201
-1.33068800	0.09495655
-1.33017600	0.08199767
-1.32966400	0.07710074
-1.32915200	0.07042960
-1.32864000	0.05058274
-1.32812800	0.04545404
-1.32761600	0.04658220
-1.32710400	0.07668321
-1.32659200	0.03520247
-1.32608000	0.05666840
-1.32556800	0.10823760
-1.32505600	0.11360090
-1.32454400	0.07540262
-1.32403200	0.03668145
-1.32352000	0.07117398
-1.32300800	0.06519791
-1.32249600	0.04723221
-1.32198400	0.04606941
-1.32147200	0.06668427
-1.32096000	0.09820463
-1.32044800	0.05860105
-1.31993600	0.05115047
-1.31942400	0.10217630
-1.31891200	0.12646360
-1.31840000	0.08747124
-1.31788800	0.04500578
-1.31737600	0.06253175
-1.31686400	0.10739370
-1.31635200	0.07061380
-1.31584000	0.02069333
-1.31532800	0.04613069
-1.31481600	0.01833734
-1.31430400	0.05901438
-1.31379200	0.03915917
-1.31328000	0.01691859
-1.31276800	0.06852323
-1.31225600	0.09812622
-1.31174400	0.08558282
-1.31123200	0.06068133
-1.31072000	0.03236088
-1.31020800	0.03192331
-1.30969600	0.07602969
-1.30918400	0.06466168
-1.30867200	0.05468017
-1.30816000	0.06111410
-1.30764800	0.02127303
-1.30713600	0.07513578
-1.30662400	0.07242689
-1.30611200	0.00621939
-1.30560000	0.04959967
-1.30508800	0.07395855
-1.30457600	0.05448773
-1.30406400	0.03753840
-1.30355200	0.02303630
-1.30304000	0.06604674
-1.30252800	0.12104500
-1.30201600	0.11631780
-1.30150400	0.07018989
-1.30099200	0.03672481
-1.30048000	0.05403138
-1.29996800	0.01946220
-1.29945600	0.06547798
-1.29894400	0.05855609
-1.29843200	0.03918719
-1.29792000	0.02481351
-1.29740800	0.04825398
-1.29689600	0.06426993
-1.29638400	0.06059257
-1.29587200	0.05399290
-1.29536000	0.01608245
-1.29484800	0.00557226
-1.29433600	0.00357400
-1.29382400	0.01227956
-1.29331200	0.03160599
-1.29280000	0.07467707
-1.29228800	0.06571722
-1.29177600	0.06315983
-1.29126400	0.06338311
-1.29075200	0.05549975
-1.29024000	0.03632985
-1.28972800	0.03541940
-1.28921600	0.04773998
-1.28870400	0.03687502
-1.28819200	0.04196404
-1.28768000	0.08685978
-1.28716800	0.08095682
-1.28665600	0.03607554
-1.28614400	0.00574140
-1.28563200	0.03420292
-1.28512000	0.04418952
-1.28460800	0.05819353
-1.28409600	0.06218116
-1.28358400	0.05055260
-1.28307200	0.02392086
-1.28256000	0.06212115
-1.28204800	0.10099090
-1.28153600	0.06234807
-1.28102400	0.01874368
-1.28051200	0.05291890
-1.28000000	0.04209972
-1.27948800	0.05020834
-1.27897600	0.04507566
-1.27846400	0.01055695
-1.27795200	0.06272668
-1.27744000	0.08579016
-1.27692800	0.04162446
-1.27641600	0.04133956
-1.27590400	0.04582106
-1.27539200	0.04929317
-1.27488000	0.06204992
-1.27436800	0.03537121
-1.27385600	0.00820220
-1.27334400	0.05440813
-1.27283200	0.06883635
-1.27232000	0.03141086
-1.27180800	0.02935695
-1.27129600	0.03308414
-1.27078400	0.02511326
-1.27027200	0.04372504
-1.26976000	0.04170049
-1.26924800	0.01941777
-1.26873600	0.03534255
-1.26822400	0.04276105
-1.26771200	0.02254508
-1.26720000	0.00194093
-1.26668800	0.00971451
-1.26617600	0.03413633
-1.26566400	0.04060631
-1.26515200	0.02069740
-1.26464000	0.03398859
-1.26412800	0.03069239
-1.26361600	0.00621812
-1.26310400	0.04320389
-1.26259200	0.08023694
-1.26208000	0.08038869
-1.26156800	0.10086240
-1.26105600	0.11418650
-1.26054400	0.07047222
-1.26003200	0.02675067
-1.25952000	0.04407378
-1.25900800	0.02993498
-1.25849600	0.00119003
-1.25798400	0.02715841
-1.25747200	0.08370551
-1.25696000	0.11419570
-1.25644800	0.05171015
-1.25593600	0.04414678
-1.25542400	0.06732331
-1.25491200	0.05259399
-1.25440000	0.05523240
-1.25388800	0.05347320
-1.25337600	0.03221309
-1.25286400	0.00885746
-1.25235200	0.02979397
-1.25184000	0.05196829
-1.25132800	0.05703060
-1.25081600	0.02908659
-1.25030400	0.03471289
-1.24979200	0.06250808
-1.24928000	0.06450149
-1.24876800	0.08830076
-1.24825600	0.09635334
-1.24774400	0.07699463
-1.24723200	0.03498543
-1.24672000	0.03517519
-1.24620800	0.05824379
-1.24569600	0.05175740
-1.24518400	0.04044267
-1.24467200	0.02300689
-1.24416000	0.02272869
-1.24364800	0.02314223
-1.24313600	0.01034896
-1.24262400	0.01862090
-1.24211200	0.02971451
-1.24160000	0.05231814
-1.24108800	0.05817286
-1.24057600	0.01611495
-1.24006400	0.05742377
-1.23955200	0.03480850
-1.23904000	0.01989587
-1.23852800	0.03383112
-1.23801600	0.05753260
-1.23750400	0.06213872
-1.23699200	0.03508063
-1.23648000	0.02984611
-1.23596800	0.02163400
-1.23545600	0.01551526
-1.23494400	0.00750337
-1.23443200	0.01031256
-1.23392000	0.03086874
-1.23340800	0.05159618
-1.23289600	0.04700306
-1.23238400	0.01722144
-1.23187200	0.06067872
-1.23136000	0.02081729
-1.23084800	0.07562063
-1.23033600	0.07282245
-1.22982400	0.06758731
-1.22931200	0.03133243
-1.22880000	0.02700648
-1.22828800	0.03148770
-1.22777600	0.01543746
-1.22726400	0.02065353
-1.22675200	0.04056662
-1.22624000	0.09395357
-1.22572800	0.12386910
-1.22521600	0.08164369
-1.22470400	0.02587347
-1.22419200	0.02064174
-1.22368000	0.04828981
-1.22316800	0.05577006
-1.22265600	0.04210851
-1.22214400	0.02456195
-1.22163200	0.07685661
-1.22112000	0.05777285
-1.22060800	0.06963585
-1.22009600	0.06810042
-1.21958400	0.04486452
-1.21907200	0.01301144
-1.21856000	0.02932535
-1.21804800	0.05065031
-1.21753600	0.06934635
-1.21702400	0.06774907
-1.21651200	0.05593605
-1.21600000	0.05511985
-1.21548800	0.02396928
-1.21497600	0.05251605
-1.21446400	0.02546115
-1.21395200	0.03465583
-1.21344000	0.02281957
-1.21292800	0.02800024
-1.21241600	0.04502202
-1.21190400	0.04786653
-1.21139200	0.00978829
-1.21088000	0.00895531
-1.21036800	0.02040418
-1.20985600	0.04065468
-1.20934400	0.05223296
-1.20883200	0.05872079
-1.20832000	0.03348073
-1.20780800	0.03957591
-1.20729600	0.03366722
-1.20678400	0.06148414
-1.20627200	0.07891262
-1.20576000	0.06308351
-1.20524800	0.03357380
-1.20473600	0.01291792
-1.20422400	0.02984767
-1.20371200	0.04501999
-1.20320000	0.02900216
-1.20268800	0.02058770
-1.20217600	0.03929003
-1.20166400	0.03412921
-1.20115200	0.06726664
-1.20064000	0.07698092
-1.20012800	0.03996804
-1.19961600	0.02497187
-1.19910400	0.01917478
-1.19859200	0.01188807
-1.19808000	0.03466681
-1.19756800	0.08213281
-1.19705600	0.10350180
-1.19654400	0.08841825
-1.19603200	0.05827854
-1.19552000	0.03227668
-1.19500800	0.01862095
-1.19449600	0.02654503
-1.19398400	0.01662764
-1.19347200	0.01771894
-1.19296000	0.04799550
-1.19244800	0.07231984
-1.19193600	0.08403154
-1.19142400	0.09956975
-1.19091200	0.04463222
-1.19040000	0.03053294
-1.18988800	0.03222014
-1.18937600	0.04440273
-1.18886400	0.04939204
-1.18835200	0.02110186
-1.18784000	0.03953578
-1.18732800	0.05404819
-1.18681600	0.01644426
-1.18630400	0.02418442
-1.18579200	0.05187803
-1.18528000	0.02341893
-1.18476800	0.02946118
-1.18425600	0.04287361
-1.18374400	0.00784303
-1.18323200	0.01742850
-1.18272000	0.01381341
-1.18220800	0.02332508
-1.18169600	0.02929274
-1.18118400	0.03996039
-1.18067200	0.04905191
-1.18016000	0.03101354
-1.17964800	0.01576560
-1.17913600	0.03585768
-1.17862400	0.00515260
-1.17811200	0.06305806
-1.17760000	0.03592227
-1.17708800	0.05566683
-1.17657600	0.06912880
-1.17606400	0.04004499
-1.17555200	0.08167111
-1.17504000	0.08631239
-1.17452800	0.05201637
-1.17401600	0.02626882
-1.17350400	0.04238463
-1.17299200	0.03549928
-1.17248000	0.01489044
-1.17196800	0.01792962
-1.17145600	0.02880733
-1.17094400	0.01979025
-1.17043200	0.02315028
-1.16992000	0.01687907
-1.16940800	0.04807594
-1.16889600	0.05905273
-1.16838400	0.04685437
-1.16787200	0.03671026
-1.16736000	0.03627692
-1.16684800	0.08538796
-1.16633600	0.08285434
-1.16582400	0.06632199
-1.16531200	0.02365325
-1.16480000	0.01708782
-1.16428800	0.00640488
-1.16377600	0.02705714
-1.16326400	0.03357090
-1.16275200	0.05207154
-1.16224000	0.05403476
-1.16172800	0.05105595
-1.16121600	0.03431799
-1.16070400	0.01274025
-1.16019200	0.03117159
-1.15968000	0.04292281
-1.15916800	0.04938891
-1.15865600	0.05713160
-1.15814400	0.06668669
-1.15763200	0.04286984
-1.15712000	0.03766098
-1.15660800	0.03943565
-1.15609600	0.01440812
-1.15558400	0.03912860
-1.15507200	0.06839497
-1.15456000	0.03978499
-1.15404800	0.04980708
-1.15353600	0.09082277
-1.15302400	0.06494144
-1.15251200	0.02937482
-1.15200000	0.01608270
-1.15148800	0.03985356
-1.15097600	0.02647413
-1.15046400	0.01924470
-1.14995200	0.04013103
-1.14944000	0.05595943
-1.14892800	0.05832322
-1.14841600	0.05506931
-1.14790400	0.04572396
-1.14739200	0.01821045
-1.14688000	0.01322214
-1.14636800	0.01371614
-1.14585600	0.04704183
-1.14534400	0.06434514
-1.14483200	0.05237303
-1.14432000	0.01205101
-1.14380800	0.02325018
-1.14329600	0.05346701
-1.14278400	0.05032802
-1.14227200	0.04213623
-1.14176000	0.02283165
-1.14124800	0.04089469
-1.14073600	0.04519624
-1.14022400	0.03109801
-1.13971200	0.05443161
-1.13920000	0.08563108
-1.13868800	0.07775866
-1.13817600	0.04436123
-1.13766400	0.06052476
-1.13715200	0.06619832
-1.13664000	0.03760193
-1.13612800	0.06026715
-1.13561600	0.05583607
-1.13510400	0.02751590
-1.13459200	0.07698764
-1.13408000	0.08358967
-1.13356800	0.04898404
-1.13305600	0.04057749
-1.13254400	0.02721501
-1.13203200	0.02470207
-1.13152000	0.03949359
-1.13100800	0.05359806
-1.13049600	0.05859437
-1.12998400	0.03290538
-1.12947200	0.05465638
-1.12896000	0.06537542
